reader_id,study_role,auth_binding_status,title,hospital_level,center,province,gi_us_years,annual_case_volume,expertise_tier_primary,expertise_tier_notes,round1_pairable_cases,round1_planned_cases,include_in_primary_complete150,registration_status,registered_at,source
Doctor_01,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
Doctor_02,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
Doctor_03,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
Doctor_04,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
Doctor_05,round2_ai_assisted,blocked_until_round1_recovered,,,,,,,pending,No Round1 progress.json; excluded from strict paired primary analysis until recovered,0,0,false,blocked_missing_round1,,round1_missing
Doctor_06,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
Doctor_07,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
Doctor_08,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
Doctor_09,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),64,150,false,pending,,round1_server_doctor_id
Doctor_10,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
Doctor_11,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
Doctor_12,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
Doctor_13,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),148,150,false,pending,,round1_server_doctor_id
Doctor_14,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
Doctor_15,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
Doctor_16,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
Doctor_17,round2_ai_assisted,required_before_start,,,,,,,pending,Must register title and gi_us_years before Round2 start; tier preset by assign_expertise_tier(),150,150,true,pending,,round1_server_doctor_id
